Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Architecture,	21,	19,	33
Arts & Humanities,	1447,	1383,	1218
Business,	33,	11,	19
Education,	5,	10,	48
Engineering/CS,	966,	1064,	1081
Interdisciplinary,	559,	473,	465
Life Sciences,	1723,	1718,	1604
Other Health Science,	44,	48,	54
Other Professional,	16,	162,	207
Physical Sciences,	862,	870,	919
Public Admin,		0, 61,	106
Social Sciences,	3894,	3840,	3542
Grand Total,	9570,	9659,	9296
