Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Arts & Humanities,	852,	800,	714
Business,	307,	289,	286
Education,	1,	31,	54
Engineering/CS,	1004,	966,	876
Interdisciplinary,	144,	140,	128
Life Sciences,	1081,	1013,	853
Other Professional,	118,	133,	121
Physical Sciences,	308,	379,	317
Public Admin,	54,	34,	31
Social Sciences,	1200,	1208,	993
Grand Total,	5069,	4993,	4373
