Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Arts & Humanities,	854,	924,	753
Business,	866,	863,	795
Education,	102,	118,	168
Engineering/CS,	646,	660,	625
Interdisciplinary,	77,	79,	61
Life Sciences,	898,	1058,	1099
Other Professional,	1,	0, 0	
Physical Sciences,	320,	353,	327
Public Admin,	92,	97,	98
Social Sciences,	1686,	1865,	1752
Grand Total,	5542,	6017,	5678
