Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Architecture,	142,	165,	150
Arts & Humanities,	844,	835,	779
Business,	385,	392,	409
Engineering/CS,	2004,	2275,	2280
Interdisciplinary,	596,	553,	464
Life Sciences,	1421,	1482,	1308
Other Health Science,	215,	208,	187
Other Professional,	416,	415,	395
Physical Sciences,	831,	704,	624
Public Admin,	87,	77,	82
Social Sciences,	2155,	2220,	2111
Grand Total,	9096,	9326,	8789
