Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Arts & Humanities,	54,	65,	69
Business,	178,	207,	185
Engineering/CS,	334,	428,	465
Interdisciplinary,	58,	61,	66
Life Sciences,	287,	358,	315
Other Health Science,	119,	153,	135
Physical Sciences,	96,	98,	99
Social Sciences,	396,	519,	549
Grand Total,	1522,	1889,	1883
