Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Architecture,	17,	38,	51
Arts & Humanities,	476,	445,	414
Business,	116,	113,	152
Education,	14,	43,	51
Engineering/CS,	1410,	1813,	1784
Interdisciplinary,	1517,	1459,	1510
Life Sciences,	1645,	1656,	1736
Other Health Science,	224,	284,	311
Other Professional,	223,	241,	255
Physical Sciences,	784,	773,	819
Social Sciences,	1507,	1700,	1788
Grand Total,	7933,	8565,	8871
