Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Arts & Humanities,	640,	775,	673
Business,	1045,	1134,	1039
Education,	388,	365,	263
Engineering/CS,	1984,	2026,	1981
Interdisciplinary,	310,	340,	335
Life Sciences,	935,	939,	868
Other Health Science,	666,	652,	624
Other Professional,	26,	26,	23
Physical Sciences,	539,	543,	543
Social Sciences,	2422,	2700,	2332
Grand Total,	8955,	9500,	8681
