Broad Discipline,	2019-2020,	2020-2021,	2021-2022
Arts & Humanities,	1001,	968,	906
Business,	82,	58,	49
Engineering/CS,	392,	413,	430
Interdisciplinary,	347,	271,	174
Life Sciences,	993,	1033,	988
Other Professional,	470,	429,	532
Physical Sciences,	794,	837,	879
Social Sciences,	2504,	2490,	2359
Grand Total,	6583,	6499,	6317
